Country,Survey,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women]Total 15-49,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women]Total 15-49,Accepting attitudes - Not secretive about family member's HIV status (4) [Women]Total 15-49,Accepting attitudes towards those living with HIV - Composite of 4 components [Women]Total 15-49,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Men]Total 15-49,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Men]Total 15-49,Accepting attitudes - Not secretive about family member's HIV status (4) [Men]Total 15-49,Accepting attitudes towards those living with HIV - Composite of 4 components [Men]Total 15-49,Adult support of education on condom use for prevention of HIV/AIDS among young womenTotal 18-49,Adult support of education on condom use for prevention of HIV/AIDS among young menTotal 18-49
Sierra Leone,2008 DHS,49.1,30.7,61.3,5.1,72.8,53,59.2,14.7,30.2,54.2
South Africa,2016 DHS,,,,,,,,,,
Tanzania,2011-12 AIS,92.7,83.8,40.7,25.4,96.4,82.7,57.4,40.4,57.5,
Tanzania,2010 DHS,92.7,85.5,43.5,30.2,94.8,83.3,56.9,41.1,,
Tanzania,2007-08 AIS,92.7,75,49.4,26.3,93.6,75.4,58.8,34.8,57.5,
Tanzania,2004-05 DHS,89.5,71.7,52.7,21.7,89.8,67.9,62.3,27.1,65.2,72.3
Tanzania,2003-04 AIS,87.7,,61.7,,89.5,,70.1,,60.7,
Togo,2013-14 DHS,74,74,33.4,8.8,82,78.3,44.8,22.3,67.5,67.8
Uganda,2016 DHS,,,,,,,,,,
Uganda,2011 AIS,91.9,78,32.4,19.7,93.2,79.7,44.2,31.1,62.9,
Uganda,2011 DHS,89.6,72.9,39.8,22.3,91.1,73.8,54.2,34.2,63.5,65.7
Uganda,2006 DHS,90.1,68.2,52.5,25.9,91.3,70.8,62,36.1,,
Uganda,2004-05 AIS,86.3,61.2,45.4,18.7,87.2,65.1,53.4,28.2,57.1,
Uganda,2000-01 DHS,84.5,43.3,48.2,,87.8,43.4,69.6,,64.6,58.5
Zambia,2018 DHS,,,,,,,,,,
Zambia,2013-14 DHS,94.6,84.6,28.5,18.7,95.5,86,37.6,27.2,51,65.4
Zambia,2007 DHS,95.2,78.2,47.2,26,95.2,79.4,55.2,33,55.8,67.7
Zambia,2001-02 DHS,90.2,,58.2,,89.8,,68,,56.1,68.5
Zimbabwe,2015 DHS,,,,,,,,,,
Zimbabwe,2010-11 DHS,94.7,87.9,54.8,39.8,95.1,83.6,55.4,39,37.5,48.3
Zimbabwe,2005-06 DHS,91,71.4,49.2,17.1,70.9,74.6,45.7,10.7,41.4,48
Zimbabwe,1999 DHS,87.5,,58.1,,88.4,,63.6,,36.6,50.6
