Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cote d'Ivoire,CIV,5.59964752,4.79337454,4.3950634,4.54102564,5.15417147,5.2876687,5.75623083,6.29261971,6.31469202,6.17719936,6.10366869,6.07790899,6.11988115,5.13896704,5.15732431,4.42198133,4.53622293,4.45303488,4.19003773,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Equatorial Guinea,GNQ,2.14664936,2.20369768,2.34778309,1.94392169,1.73176396,1.49995625,1.51862013,1.57125568,1.82917058,1.84437954,1.81862855,1.55357504,1.26357353,1.87567019,2.19292879,2.91533971,3.14452434,3.01081419,2.99830961,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Eritrea,ERI,5.76670074,5.91931629,6.68851233,7.33703375,7.00984907,6.8641758,6.85840464,5.2786293,6.41520452,5.38878536,4.91415453,5.21496344,3.77572441,4.99239731,4.05145597,4.4600234,3.53811574,3.76475835,4.09255791,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Eswatini,SWZ,4.60951757,5.13895321,5.5229826,6.37864399,6.81432486,7.37623358,7.82560015,7.93004131,8.85792923,8.63292217,8.59125805,8.46997261,7.82028151,7.45686579,7.25702429,7.03397036,6.77650404,6.91085625,6.54034519,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ethiopia,ETH,4.3650465,4.72316694,4.7126298,4.89970922,4.31281853,4.10098124,4.45757294,5.00128365,4.28063917,4.64983416,5.46637201,4.46897793,4.53959608,4.07506514,4.03365517,3.82316828,3.66298747,3.50331593,3.29555655,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Gabon,GAB,2.90536857,3.15246534,3.33045912,3.5369184,3.33139825,2.93410254,3.1450901,3.1515007,2.794451,3.83981419,2.47556901,2.55771565,2.42097569,2.84087181,2.53282237,2.65743947,3.1076982,2.78074527,2.74503946,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Gambia, The",GMB,6.63892317,5.62362909,6.2633357,5.31111097,5.40308571,5.37833881,5.41599321,4.9471097,4.6473093,4.43418264,4.09267378,4.34501791,4.230021,3.91374874,3.6996479,3.17612934,3.19347262,3.34084225,3.09379649,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ghana,GHA,3.00223541,3.38096738,2.99873066,3.02463651,3.10012674,3.97779608,3.9613142,4.06612778,4.19730759,4.70667505,4.69206762,4.74449921,4.18723392,4.62300539,4.10044813,4.62171459,3.46157742,3.32977843,3.53888083,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guinea,GIN,4.74565029,4.88879013,5.36134958,4.77804708,4.78207541,4.04244757,3.61067438,3.43229818,3.26221275,3.57714295,3.42332411,3.78955078,3.50398302,3.46079683,4.78097677,5.80920601,5.39708233,4.27482462,3.93172431,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guinea-Bissau,GNB,6.84018946,6.39969349,6.15985727,6.50510693,7.66747808,7.22372293,7.08390236,7.36150503,6.95112944,7.00096798,6.46586418,6.13526964,5.76361847,6.9278307,9.51437759,8.59115314,7.65348768,6.84708118,6.99553871,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kenya,KEN,4.63926125,4.8036828,4.95862436,5.16911125,5.3449378,5.31436777,5.87344599,5.99706984,6.04985666,6.02780771,6.11675072,5.81170416,5.61369753,5.51942348,5.45934105,5.21938848,5.14090538,4.8369956,5.16729498,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lesotho,LSO,5.85720491,6.37439108,5.95861387,5.62080336,5.63196611,5.06624413,5.69018555,6.76945686,7.24728012,8.37519169,7.61773348,8.79661846,8.57818985,9.01221848,8.65392971,8.49196434,8.01058197,8.94750309,9.28354836,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Liberia,LBR,4.07415962,3.28853774,2.78770471,3.17808437,7.87571001,8.96836472,7.47355461,9.38743019,7.44848108,9.50294399,8.87670994,9.22752571,8.59213543,8.18830681,9.06281471,10.37773991,9.79585648,8.15604591,6.73955679,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Madagascar,MDG,5.23104906,5.57643795,5.76798916,5.51154327,6.13453531,6.00515699,5.88660622,5.20624304,4.71599674,5.01293182,5.32034874,5.18553019,4.4098258,4.22997093,5.08265734,5.72116804,6.0193038,5.5050993,4.78956461,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Malawi,MWI,3.35252881,2.98039699,3.77586961,4.67483664,5.73337364,6.05505085,6.91642094,7.66315603,8.59821701,8.26966286,7.24141073,7.49375153,8.47896862,11.57910728,9.71204662,9.33333778,9.69365978,9.64243031,9.33423615,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mali,MLI,5.4667201,4.51965237,5.00057983,5.05147505,5.21853399,5.19538116,5.45656061,5.25366783,5.04541206,5.22911119,4.67923403,4.01573372,3.75211573,3.96750712,4.48156118,4.11143351,3.7753799,4.10388279,3.8849268,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mauritania,MRT,4.65043879,4.81714439,5.37182045,5.29233122,4.78011036,4.57625818,3.48422456,3.72460938,3.89292169,4.00519896,3.421592,3.23916149,3.40726185,3.67313361,4.25439119,4.70125389,4.21777868,4.50495195,4.58039093,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mauritius,MUS,2.89581966,2.96084642,3.23190355,3.22486687,3.36119127,3.56529307,3.65428853,3.57065129,3.99199653,4.2265029,4.57982111,4.3078289,4.27675056,4.68303633,5.49399614,5.6999588,5.70678568,5.71669579,5.82624388,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mozambique,MOZ,2.61787701,3.53841853,3.8791213,4.01965427,4.15233994,4.92094421,4.59433174,4.57105637,4.70943069,5.65383863,5.83412266,5.40332603,5.61947441,6.50048494,6.57946301,7.23973656,7.84588909,8.14048672,8.17430115,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Namibia,NAM,9.79146862,9.67593479,9.89039803,10.0339632,10.34174252,10.34465313,10.27619934,10.79394531,9.92570686,9.04721642,9.72611046,9.82976627,9.26402569,8.66987896,8.17065144,9.70993042,8.85608196,8.28922272,7.95077181,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Niger,NER,7.19839239,7.18203688,7.33611679,7.00044632,7.28933811,8.19811249,8.27885628,7.6251688,7.39009905,7.94228983,6.86888981,6.6486249,5.83651638,5.94302082,5.85134125,7.13803673,6.16463852,7.66223145,7.33380175,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nigeria,NGA,3.1973834,3.18946886,2.49063969,5.05360985,4.63368416,4.46591949,4.25775146,3.90997219,3.69581532,3.58019733,3.29653287,3.32077932,3.35984278,3.4206934,3.34840417,3.58195019,3.64773679,3.75553846,3.88990784,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Rwanda,RWA,4.26349449,3.89250112,3.66946197,8.02439117,8.54291725,8.77702618,7.82786894,8.23888397,7.94808626,8.12521267,8.46126652,8.21763229,8.35697842,6.97064686,7.17037678,6.86232901,7.14331341,6.93017101,7.54268694,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sao Tome and Principe,STP,10.51173401,10.83265495,10.66430473,12.62009716,11.87253094,11.5197401,8.2809639,8.16975498,7.11202765,7.19514179,6.84464884,6.75577021,6.47629499,7.93743801,6.73101854,5.34009647,6.43088818,6.46091604,6.26645994,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Senegal,SEN,3.56931567,3.87414145,4.08059502,4.3290267,4.51964331,3.66860914,3.71245098,3.34080577,3.47299719,3.80207229,4.00045347,4.19347048,4.22773457,4.37490368,4.39605856,4.38257313,4.26078272,4.06742668,3.97799659,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Seychelles,SYC,4.61071825,5.39469767,4.55957556,5.35819769,5.19606733,4.9772644,4.67818308,4.08972359,3.99024963,3.88408613,4.82773542,4.79911327,5.73107624,4.50803661,4.73750544,4.58823824,5.1787982,4.98940706,5.11036491,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sierra Leone,SLE,11.51732349,10.9725275,11.42101955,10.82904911,10.96054268,11.03773403,10.39399529,10.03516102,9.87387657,11.0984726,10.94337559,13.28133965,10.59042263,11.56771851,19.72741699,20.41341209,16.52595901,16.6201725,16.06307983,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Africa,ZAF,7.43741989,7.45108652,6.88287115,6.91403675,6.81141186,6.70575714,6.58706188,6.4313159,6.54576063,7.11458683,7.41535425,7.49731731,7.7525506,7.72096157,7.93015003,8.20090294,8.09581757,8.11311913,8.25342083,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.37437344,6.40037966,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sudan,SDN,3.60664463,3.36456847,3.30010867,3.89187932,4.15593481,4.09418106,4.88544321,5.66269207,5.42313623,6.39496279,5.05810213,5.61579561,5.68827009,6.96487522,5.67619705,7.18615294,6.40399361,6.30497503,4.51304483,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tanzania,TZA,3.41529965,4.23551702,4.68907642,5.34231472,5.7373414,6.32282591,7.59827948,6.88427973,5.55704737,5.06306362,5.22392225,5.0559845,5.01779366,4.64643383,4.01492023,3.64969921,3.96350336,3.63913774,3.62868047,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Togo,TGO,3.30968809,3.42276573,3.44982672,3.50267553,3.69210696,3.96861029,4.15860939,4.4334507,4.43673515,4.95799303,5.90041494,5.99588251,6.1408205,6.29625988,6.35890293,6.24938154,6.60094786,6.02144766,6.16532087,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Uganda,UGA,7.56050587,8.34374809,8.75128365,8.65062141,10.28578472,11.36374092,11.79276943,11.68179512,10.39849472,9.7387352,10.51574898,8.92494392,7.86666203,7.24972916,6.96508646,6.78750038,6.54710674,6.48715639,6.52623558,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Zambia,ZMB,7.15237093,6.55248451,6.79403543,7.18999434,7.04994965,6.86332226,5.87367344,4.35264969,4.01207542,4.42680454,3.71929598,3.46053243,3.93052912,4.69091034,3.82924223,4.43510246,4.47720718,4.39748955,4.93484306,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Zimbabwe,ZWE,..,..,..,..,..,..,..,..,..,..,10.47583866,8.08173752,6.91835308,7.11014795,8.13352394,7.45206642,7.6476202,5.84977484,4.73433113,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Angola,AGO,12.99896717,28.91812134,29.04936409,34.87518692,49.81074142,54.26077652,69.81230164,92.86030579,135.6058197,119.99628448,96.69701385,122.10723114,122.18558502,143.60687256,131.6476593,108.58293915,95.12497711,114.33460236,87.61676788,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Benin,BEN,15.88687897,16.81288338,17.47441101,21.57793999,24.54393578,24.12298584,25.40521812,27.92425346,30.30306816,30.71387672,31.04154778,34.96141434,39.10080719,35.76725006,34.44753647,31.30697823,30.22834778,30.05702591,30.9390583,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Botswana,BWA,205.23696899,201.81082153,204.88697815,267.4956665,293.97189331,277.06048584,263.60546875,311.03723145,330.35922241,342.93563843,398.57070923,440.04370117,483.8059082,449.70568848,435.55368042,389.3807373,402.80163574,484.22390747,482.96307373,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Burkina Faso,BFA,7.52564335,7.70798016,8.71375179,11.74841595,17.61220932,18.08620071,21.35472488,27.96674919,29.78364944,31.59088516,33.91081619,34.8739357,34.89026642,43.79697418,39.59173203,33.51475906,40.95483017,44.40372086,40.24945068,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Burundi,BDI,8.42834568,8.60474777,7.96743488,7.16897392,9.8821106,12.77716923,16.64111137,18.25146484,18.31873894,21.8832016,26.41332245,25.13240814,21.51785278,21.93877029,20.53392982,19.4568367,22.41840553,23.58145905,24.02547073,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cabo Verde,CPV,63.03440475,67.14394379,72.8820343,89.07603455,98.08786774,100.67198181,118.32913971,133.41764832,133.2350769,135.40571594,151.16014099,161.03373718,176.98373413,191.2829895,191.17623901,146.60760498,151.69641113,176.48937988,194.85687256,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cameroon,CMR,27.93606567,26.67946053,30.40726662,36.96333313,40.55318832,41.44176483,42.79501724,47.281353,52.45386124,49.16592789,48.31293106,56.36682129,55.1756134,55.45908356,60.85925674,49.74619293,50.8497467,49.64924622,54.13952637,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Central African Republic,CAF,10.28705597,9.54669666,10.80481339,12.96637344,13.89353085,14.7944603,16.09814835,19.37653732,19.16386795,22.45341301,17.81714249,20.03986931,20.52720833,17.99575615,20.81191635,18.99312592,21.8805294,29.9801693,53.66416168,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Chad,TCD,10.23765469,11.79921436,18.12550163,18.198349,28.2273941,31.98035049,34.6416626,34.82590866,37.71233368,35.68569183,36.28798676,38.49904251,37.41161346,39.95672226,43.72490692,35.09303284,34.352211,29.49969864,29.23851013,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Comoros,COM,45.77197266,43.472435,48.72956085,57.74796677,62.88409805,62.4527359,62.53800583,67.81578064,72.68344879,68.19288635,67.074646,78.71292114,65.57981873,69.27052307,68.98582458,60.21103287,60.74297714,61.72988892,65.22776031,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Congo, Dem. Rep.",COD,18.6212616,5.82149839,4.47839451,6.47020149,8.38838673,9.07471561,10.97469044,12.13539028,16.02249908,13.28515053,12.52543068,12.46153259,14.01603508,16.326828,19.37128258,19.87244987,20.58203506,19.41761589,18.51088905,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Congo, Rep.",COG,17.44025993,20.63038635,17.11676979,21.71119118,27.88204765,31.51848221,36.79486084,43.03957748,64.76908875,50.04588318,56.91404343,62.34162521,74.91969299,75.47943115,74.514328,60.12829971,54.10359192,51.26589584,47.5177536,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cote d'Ivoire,CIV,36.47083664,31.83412552,31.49195862,39.49386978,47.48029327,49.2191925,54.63421631,66.77438354,78.02518463,74.76235962,73.97220612,74.19325256,76.09120941,72.7405014,80.42262268,63.07769775,67.21105194,69.34188843,71.88140869,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Equatorial Guinea,GNQ,40.92737579,58.34743881,73.50776672,106.5741272,143.7288208,163.77030945,195.2540741,249.96153259,419.65899658,307.42001343,314.1137085,335.78268433,274.35205078,382.35394287,424.73120117,328.8190918,290.68115234,293.13339233,314.29876709,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Eritrea,ERI,13.75257683,14.51352882,15.21526051,18.9991188,22.12163734,20.64315796,22.02857018,17.96751404,19.32589912,22.39599228,24.63759232,33.50611496,26.19568443,29.78876877,31.86192322,26.75016403,22.77753258,21.17291069,23.78602791,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Eswatini,SWZ,79.68417358,78.20019531,77.6235733,137.04960632,183.92892456,227.47303772,248.58961487,263.86819458,277.90585327,292.29440308,358.12390137,380.85736084,354.07363892,315.44937134,293.08114624,259.51907349,233.63514709,273.17822266,271.14007568,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Ethiopia,ETH,5.38449526,5.61692476,5.25928497,5.84133863,5.88065052,6.65360308,8.66179371,11.98231506,13.45180225,15.63803864,16.7058506,15.11116791,20.66479111,19.88365173,22.27192688,23.91623878,25.07559586,24.92481232,24.22611809,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Gabon,GAB,127.64353943,125.76939392,137.28015137,174.10043335,190.86567688,199.58547974,223.30055237,266.2097168,285.39224243,297.41537476,218.85838318,276.11819458,237.59547424,275.01934814,244.43147278,196.16505432,216.90785217,200.56188965,218.36860657,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Gambia, The",GMB,50.86863708,41.45034027,39.55756378,30.87388229,34.72867203,35.80473328,35.87295151,38.60668182,42.96466064,36.94911575,35.2233963,33.1423111,31.41952705,27.41661644,22.47270203,20.98540878,21.80244827,22.71026421,22.15542793,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Ghana,GHA,17.85551643,20.92321587,21.03129005,25.49957466,29.50203323,44.7131424,50.95217896,60.0993042,68.42399597,67.71266937,81.50324249,100.25246429,91.01084137,109.94523621,80.73294067,81.61917114,66.85653687,67.45523071,77.91143036,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Guinea,GIN,23.25868988,22.10671425,25.11627769,25.97815895,26.85185814,19.99720573,16.37105751,22.65211487,23.32725334,24.11268997,23.04640198,24.67529106,24.29986,26.61382103,37.69287872,44.68756485,39.55763626,36.50824356,38.31764221,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Guinea-Bissau,GNB,20.70239449,19.8405323,20.14164352,24.20259094,31.0591526,31.52978706,30.46108055,36.34542084,41.70643997,39.16440582,36.09091187,43.17166519,35.52560806,43.96840286,59.30418015,51.83914566,50.6244812,50.57252884,53.29457474,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Kenya,KEN,20.51720238,21.25755501,21.68992996,25.03597069,27.09413719,30.47352028,40.28915024,49.51648712,54.57352448,54.56043243,58.21165848,56.46788025,63.82013702,66.80593872,71.83386993,69.77667999,72.51428223,75.85467529,88.38527679,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Lesotho,LSO,26.23996544,26.13252449,22.34071541,31.49400139,40.47372437,40.76879501,48.55776596,65.21094513,68.62264252,80.58473969,94.69707489,125.03486633,117.13769531,116.80801392,113.72309875,103.63265228,89.38617706,111.64142609,124.78967285,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Liberia,LBR,12.50086308,10.08628559,8.54358292,7.72558451,22.52964973,26.44708443,25.11979103,37.23071289,35.63352966,44.75388718,45.5770874,55.07883072,56.53076553,59.07529831,65.21392822,73.39692688,69.9858551,56.9612236,45.42477798,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Madagascar,MDG,12.86519241,15.53348637,15.12862587,17.46053123,15.03719425,16.50335312,17.19776154,19.67164612,22.19978905,20.83815002,21.95882225,23.59220695,19.57540894,19.53066635,22.99704552,22.90582275,24.48439217,24.68006706,22.0497551,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Malawi,MWI,9.09148884,7.73601103,11.26799107,12.50175095,16.20174026,17.5325985,21.31405258,25.46150398,33.32744598,36.23827744,34.66256714,40.08781815,33.20030212,40.3452301,36.05779648,35.68380356,30.94216537,33.99734879,35.49821854,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Mali,MLI,14.75309944,13.89508247,16.74376488,19.82828903,22.97034264,25.39648056,28.51480293,31.34812164,35.02916718,36.54620361,33.20299911,33.59200668,29.21658516,31.9307003,37.96685791,30.8840313,29.44280052,34.00102997,34.95166016,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Mauritania,MRT,22.87253761,23.09371185,25.60963631,28.95334435,30.72266579,33.05524826,34.04533005,39.03982544,47.60751343,43.22557068,42.47654724,46.50239563,48.08863068,54.26546097,58.04791641,55.98908615,47.35323715,51.61418533,54.48972321,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Mauritius,MUS,118.97707367,119.46853638,135.94143677,162.00184631,189.92880249,197.67504883,209.14854431,235.85057068,321.8163147,310.15560913,367.12078857,396.6121521,398.12188721,452.45565796,559.44458008,529.16137695,553.21362305,599.44421387,653.347229,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Mozambique,MOZ,7.10689354,8.87072754,10.28336811,11.53792667,14.07469845,18.23710632,17.79965973,19.75497627,24.3008213,26.94626808,25.1751461,29.33419418,34.50271606,40.73832703,42.45389938,39.61871719,30.72076035,35.9498558,40.26391602,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Namibia,NAM,213.26727295,188.20231628,179.54959106,263.33148193,358.15893555,386.44033813,416.17221069,469.61209106,412.71463013,383.66226196,517.23760986,562.59106445,550.49810791,488.86352539,459.94418335,488.69061279,423.87445068,468.04055786,471.48568726,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Niger,NER,10.58441544,11.08416271,12.42963505,14.61135769,16.08820152,20.27094841,21.34530449,22.24166489,26.18297386,27.05620766,23.85829926,24.89789391,22.76922607,24.62716293,25.02994919,25.87792969,22.55697441,28.80011749,30.35857964,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Nigeria,NGA,17.73399734,18.60057449,18.20248985,39.43843842,44.63315582,54.55794525,66.54981232,70.07374573,81.24026489,68.99747467,76.75720978,84.46413422,92.61115265,102.55484009,107.90875244,97.80262756,79.37476349,73.93003845,83.75351715,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Rwanda,RWA,9.322052,7.92092705,7.30057716,17.31920624,20.55388832,25.63013649,27.64455414,34.4347496,41.09491348,45.26377106,49.29988861,53.06285095,58.85438538,49.14559174,51.86009598,49.96376419,51.88179779,52.86735153,58.30852127,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Sao Tome and Principe,STP,56.68047333,53.57339478,57.77625275,80.15371704,80.71757507,91.52962494,68.29799652,71.05831909,78.14442444,76.83090973,74.93682098,85.38578796,86.81771088,125.17603302,120.006073,85.22420502,109.98060608,117.01068115,125.40039825,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Senegal,SEN,21.67036438,23.83636856,26.79411125,35.65910339,42.50958252,36.46347809,38.64305115,40.83710861,49.03627014,50.08225632,51.16491318,57.52281189,56.23128891,60.18459702,61.3162117,53.41298294,54.07107544,55.10048676,58.90360641,..,..
