Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Gabon,GAB,0,0,1,2,6,12,14,16,19,24,25,28,32,42,45,54,60,66,70,51,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,"Gambia, The",GMB,0,0,0,0,0,2,2,3,5,6,10,15,18,18,19,20,24,26,28,29,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Ghana,GHA,0,0,0,0,1,1,3,4,8,11,14,20,23,24,26,25,28,31,33,45,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Guinea,GIN,0,0,0,0,1,1,3,4,8,11,14,20,23,24,26,25,28,31,33,45,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Guinea-Bissau,GNB,0,0,0,0,0,0,1,3,6,8,11,14,18,18,21,24,30,30,36,41,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Kenya,KEN,0,0,0,0,2,4,9,13,18,24,31,38,42,45,52,61,69,75,71,74,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Lesotho,LSO,0,0,0,0,1,3,6,14,19,25,31,37,44,50,56,59,62,63,64,65,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Liberia,LBR,0,0,0,0,0,0,2,3,4,6,9,12,11,13,14,15,17,25,30,33,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Madagascar,MDG,0,0,0,0,1,1,2,2,2,3,3,3,3,3,4,5,6,8,10,13,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Malawi,MWI,0,0,0,0,1,3,7,11,17,22,28,35,43,49,55,60,67,73,78,79,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Mali,MLI,0,0,0,1,3,3,7,11,15,19,21,24,23,23,24,26,28,30,33,36,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Mauritania,MRT,0,0,0,0,1,3,7,11,15,19,23,25,26,32,35,39,42,50,52,57,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Mauritius,MUS,0,0,1,1,1,2,3,3,4,5,6,12,14,16,21,23,23,24,25,25,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Mozambique,MOZ,0,0,0,0,1,2,3,7,10,11,14,16,18,25,31,37,44,50,56,60,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Namibia,NAM,0,0,0,0,3,8,16,26,33,36,42,50,55,59,58,65,65,74,78,85,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Niger,NER,0,0,0,0,0,2,4,6,7,17,20,26,31,34,32,37,45,55,59,61,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Nigeria,NGA,0,0,0,2,5,6,11,12,18,22,25,29,36,42,46,50,55,57,59,65,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Rwanda,RWA,0,0,0,0,3,9,17,22,30,37,42,46,53,59,65,71,79,82,84,87,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Senegal,SEN,0,0,0,0,0,0,1,17,20,24,27,29,27,31,38,43,50,56,64,70,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Sierra Leone,SLE,0,0,0,0,0,1,1,2,4,6,10,13,12,13,15,20,24,32,37,43,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Somalia,SOM,0,0,0,0,0,0,1,1,2,4,6,8,10,13,15,19,23,26,30,33,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,South Africa,ZAF,0,0,1,1,1,2,4,8,12,17,23,30,37,43,48,53,58,62,66,70,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,South Sudan,SSD,0,0,0,0,0,0,0,0,0,1,1,2,3,4,7,11,11,13,16,18,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Sudan,SDN,0,0,0,0,0,0,0,0,3,5,5,6,6,8,9,10,13,17,19,22,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Tanzania,TZA,0,0,0,0,1,2,5,11,12,15,18,20,31,36,43,49,54,60,67,75,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Togo,TGO,0,0,0,1,2,5,6,7,9,14,21,24,27,30,32,37,44,51,55,64,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Uganda,UGA,0,1,1,2,5,9,8,10,14,16,20,23,31,41,50,54,60,69,70,84,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Zambia,ZMB,0,0,0,2,4,7,10,19,26,32,37,44,48,54,60,68,69,72,79,85,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Zimbabwe,ZWE,0,0,0,0,1,2,5,8,12,18,30,39,45,52,59,64,70,78,73,85,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,
